Word,Definitions
XeqF,[[ash]] [[water]] ; (Of [[sensation]]) [[sparkly]]; [[bubbly]]
XiAF,Of [[sweetness]]
XiE,"(Of [[emotion]]) [[bad]], [[unwell]] ; (Of [[behavior]]) [[badly]]"
XinG,([[dimension]]) [[wide]] ; (Of [[size]]) [[wide]]
XkaI,[[other]]; something else ; [[another]]
XkeqH,(Of [[characteristic]]) [[imaginative]]
XkinqH,"(Of [[shape]] or [[form]]) [[twisted]], [[crooked]]"
XonqB,(Of or related to [[gustation]] or [[taste]]) [[delicious]] ; [[tasty]]
XqnyiA,Exhibiting a [[quality]] of [[sadness]] ; To be in a [[disheartened]] state
XweA,Of [[smaller]] [[stature]]
XyuqA,[[troublesome]]
YaC-ntyqanJ-tiI-nyaJ-ranF,(Related to one's [[values]]) [[modest]] ; [[simple]]; [[plain]]
YkwaAF,(In relation to a [[surface]] or [[counting]]) [[even]]
YkwaqC,"(Usually of a [[biome]] or [[terrain]]) [[marshy]], [[swampy]]"
YquH-riqC,"[[shameful]] ; [[shy]], [[timid]]"
